Absolute Dose(Gy),Liver (7) (Volume: 1627.3 mL)
0,100
0.1,38.97669
0.2,37.78616
0.3,37.03345
0.4,36.46085
0.5,35.97716
0.6,35.54776
0.7,35.18511
0.8,34.87764
0.9,34.60694
1,34.3663
1.1,34.14774
1.2,33.94897
1.3,33.76663
1.4,33.59649
1.5,33.43739
1.6,33.28734
1.7,33.14577
1.8,33.01015
1.9,32.88147
2,32.75818
2.1,32.63968
2.2,32.52629
2.3,32.41746
2.4,32.31191
2.5,32.20972
2.6,32.11082
2.7,32.01459
2.8,31.92185
2.9,31.83027
3,31.74131
3.1,31.65505
3.2,31.57063
3.3,31.48798
3.4,31.40679
3.5,31.3278
3.6,31.25014
3.7,31.17416
3.8,31.09935
3.9,31.0255
4,30.95391
4.1,30.88249
4.2,30.81263
4.3,30.74437
4.4,30.67681
4.5,30.61028
4.6,30.54512
4.7,30.48062
4.8,30.41716
4.9,30.35472
5,30.29293
5.1,30.23212
5.2,30.17247
5.3,30.11339
5.4,30.05515
5.5,29.99738
5.6,29.93999
5.7,29.88357
5.8,29.82784
5.9,29.77237
6,29.71772
6.1,29.6637
6.2,29.60978
6.3,29.55641
6.4,29.50363
6.5,29.45109
6.6,29.39891
6.7,29.34795
6.8,29.29677
6.9,29.24612
7,29.19584
7.1,29.14569
7.2,29.09664
7.3,29.04719
7.4,28.99828
7.5,28.94981
7.6,28.90113
7.7,28.85364
7.8,28.8061
7.9,28.75836
8,28.71146
8.1,28.66465
8.2,28.61786
8.3,28.5718
8.4,28.52553
8.5,28.48017
8.6,28.43443
8.7,28.38935
8.8,28.34437
8.9,28.2995
9,28.25588
9.1,28.21177
9.2,28.16898
9.3,28.12549
9.4,28.08253
9.5,28.03987
9.6,27.99701
9.7,27.95444
9.8,27.91232
9.9,27.86998
10,27.82786
10.1,27.78622
10.2,27.74425
10.3,27.70268
10.4,27.6611
10.5,27.61984
10.6,27.57841
10.7,27.53708
10.8,27.49594
10.9,27.45503
11,27.41377
11.1,27.3733
11.2,27.33214
11.3,27.29171
11.4,27.25056
11.5,27.21042
11.6,27.16998
11.7,27.12892
11.8,27.08836
11.9,27.04862
12,27.0077
12.1,26.96718
12.2,26.92687
12.3,26.88701
12.4,26.84608
12.5,26.80558
12.6,26.76586
12.7,26.7252
12.8,26.68504
12.9,26.64484
13,26.60363
13.1,26.56312
13.2,26.52206
13.3,26.48167
13.4,26.44122
13.5,26.39998
13.6,26.3604
13.7,26.32248
13.8,26.28401
13.9,26.24525
14,26.20657
14.1,26.1686
14.2,26.12967
14.3,26.09104
14.4,26.05251
14.5,26.01413
14.6,25.97565
14.7,25.93659
14.8,25.89798
14.9,25.85946
15,25.82019
15.1,25.78148
15.2,25.74236
15.3,25.70384
15.4,25.66456
15.5,25.62495
15.6,25.58602
15.7,25.54697
15.8,25.50729
15.9,25.46785
16,25.42787
16.1,25.38866
16.2,25.34906
16.3,25.30893
16.4,25.26856
16.5,25.2287
16.6,25.18865
16.7,25.148
16.8,25.10718
16.9,25.06676
17,25.02539
17.1,24.98418
17.2,24.94313
17.3,24.90162
17.4,24.85921
17.5,24.81795
17.6,24.77761
17.7,24.73753
17.8,24.69773
17.9,24.65759
18,24.61729
18.1,24.57649
18.2,24.53595
18.3,24.49503
18.4,24.45341
18.5,24.4118
18.6,24.37033
18.7,24.3293
18.8,24.28682
18.9,24.24422
19,24.2017
19.1,24.15915
19.2,24.11554
19.3,24.07216
19.4,24.02879
19.5,23.98453
19.6,23.93995
19.7,23.89572
19.8,23.8504
19.9,23.80467
20,23.75871
20.1,23.71288
20.2,23.66633
20.3,23.6184
20.4,23.57069
20.5,23.52303
20.6,23.47362
20.7,23.42332
20.8,23.37325
20.9,23.32118
21,23.26623
21.1,23.21753
21.2,23.1683
21.3,23.11824
21.4,23.06746
21.5,23.01677
21.6,22.96452
21.7,22.91191
21.8,22.85811
21.9,22.80424
22,22.74942
22.1,22.69348
22.2,22.6369
22.3,22.57938
22.4,22.52076
22.5,22.46178
22.6,22.40103
22.7,22.34023
22.8,22.27733
22.9,22.21319
23,22.14806
23.1,22.08113
23.2,22.01276
23.3,21.93939
23.4,21.86377
23.5,21.78739
23.6,21.71328
23.7,21.64197
23.8,21.5695
23.9,21.49504
24,21.41844
24.1,21.33975
24.2,21.2586
24.3,21.17522
24.4,21.08965
24.5,21.00095
24.6,20.90826
24.7,20.81219
24.8,20.71273
24.9,20.60691
25,20.48508
25.1,20.3468
25.2,20.19793
25.3,20.03769
25.4,19.86931
25.5,19.68474
25.6,19.47838
25.7,19.24576
25.8,18.98168
25.9,18.67675
26,18.32264
26.1,17.89506
26.2,17.36605
26.3,16.21243
26.4,13.16273
26.5,10.2114
26.6,7.53805
26.7,5.66824
26.8,4.27717
26.9,3.08276
27,2.1164
27.1,1.33933
27.2,0.71785
27.3,0.30412
27.4,0.11127
27.5,0.02315
27.6,7.70E-04
27.7,0
